UniversityLabel,AlumnusLabel,EmployerLabel,BirthPlaceLabel,ULocationLabel,OccupationLabel,DateOfDeathLabel,DateOfBirthLabel,FoundationDateLabel,ELocationLabel
Lund University,Sven Ludvig Lovén,Lund University,Maria Magdalena församling,Lund Municipality,malacologist,1895-09-03T00:00:00Z,1809-01-06T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Stockholm University,Bert Bolin,Stockholm University,Nyköping,Stockholm Municipality,university teacher,2007-12-30T00:00:00Z,1925-03-15T00:00:00Z,1878-01-01T00:00:00Z,Stockholm Municipality
Stockholm University,Bert Bolin,Stockholm University,Nyköping,Stockholm Municipality,meteorologist,2007-12-30T00:00:00Z,1925-03-15T00:00:00Z,1878-01-01T00:00:00Z,Stockholm Municipality
Lund University,Gustaf Retzius,Karolinska Institute,Kungsholm,Lund Municipality,university teacher,1919-07-21T00:00:00Z,1842-10-17T00:00:00Z,1666-12-19T00:00:00Z,Solna Municipality
Lund University,Gustaf Retzius,Karolinska Institute,Kungsholm,Lund Municipality,journalist,1919-07-21T00:00:00Z,1842-10-17T00:00:00Z,1666-12-19T00:00:00Z,Solna Municipality
Lund University,Gustaf Retzius,Karolinska Institute,Kungsholm,Lund Municipality,anthropologist,1919-07-21T00:00:00Z,1842-10-17T00:00:00Z,1666-12-19T00:00:00Z,Solna Municipality
Karolinska Institute,Gustaf Retzius,Karolinska Institute,Kungsholm,Solna Municipality,university teacher,1919-07-21T00:00:00Z,1842-10-17T00:00:00Z,1810-01-01T00:00:00Z,Solna Municipality
Karolinska Institute,Gustaf Retzius,Karolinska Institute,Kungsholm,Solna Municipality,journalist,1919-07-21T00:00:00Z,1842-10-17T00:00:00Z,1810-01-01T00:00:00Z,Solna Municipality
Karolinska Institute,Gustaf Retzius,Karolinska Institute,Kungsholm,Solna Municipality,anthropologist,1919-07-21T00:00:00Z,1842-10-17T00:00:00Z,1810-01-01T00:00:00Z,Solna Municipality
Lund University,Elis Strömgren,University of Copenhagen,Helsingborg,Lund Municipality,astronomer,1947-04-05T00:00:00Z,1870-05-31T00:00:00Z,1666-12-19T00:00:00Z,Copenhagen Municipality
Lund University,Elis Strömgren,University of Copenhagen,Helsingborg,Lund Municipality,university teacher,1947-04-05T00:00:00Z,1870-05-31T00:00:00Z,1666-12-19T00:00:00Z,Copenhagen Municipality
Lund University,Elis Strömgren,Lund University,Helsingborg,Lund Municipality,astronomer,1947-04-05T00:00:00Z,1870-05-31T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Elis Strömgren,Lund University,Helsingborg,Lund Municipality,university teacher,1947-04-05T00:00:00Z,1870-05-31T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Stockholm University,Hans Riesel,Royal Institute of Technology,Stockholm,Stockholm Municipality,mathematician,2014-12-21T00:00:00Z,1929-05-28T00:00:00Z,1878-01-01T00:00:00Z,Stockholm Municipality
Stockholm University,Hans Riesel,Royal Institute of Technology,Stockholm,Stockholm Municipality,university teacher,2014-12-21T00:00:00Z,1929-05-28T00:00:00Z,1878-01-01T00:00:00Z,Stockholm Municipality
Royal Institute of Technology,Alfred Grenander,Royal Institute of Technology,Skövde,Stockholm Municipality,architect,1931-07-14T00:00:00Z,1863-06-26T00:00:00Z,1827-01-01T00:00:00Z,Stockholm Municipality
Royal Institute of Technology,Alfred Grenander,Unterrichtsanstalt des Kunstgewerbemuseums Berlin,Skövde,Stockholm Municipality,architect,1931-07-14T00:00:00Z,1863-06-26T00:00:00Z,1827-01-01T00:00:00Z,Berlin
Lund University,Martin P. Nilsson,Lund University,Q10680407,Lund Municipality,writer,1967-04-07T00:00:00Z,1874-07-12T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Martin P. Nilsson,Lund University,Q10680407,Lund Municipality,author,1967-04-07T00:00:00Z,1874-07-12T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Martin P. Nilsson,Lund University,Q10680407,Lund Municipality,university teacher,1967-04-07T00:00:00Z,1874-07-12T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Martin P. Nilsson,Lund University,Q10680407,Lund Municipality,classical scholar,1967-04-07T00:00:00Z,1874-07-12T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Martin P. Nilsson,Lund University,Q10680407,Lund Municipality,classical philologist,1967-04-07T00:00:00Z,1874-07-12T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Royal Institute of Technology,Gunnar Asplund,Royal Institute of Technology,Stockholm,Stockholm Municipality,architect,1940-10-20T00:00:00Z,1885-09-22T00:00:00Z,1827-01-01T00:00:00Z,Stockholm Municipality
Lund University,Lars Hörmander,Lund University,Mjällby,Lund Municipality,mathematician,2012-11-25T00:00:00Z,1931-01-24T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Lars Hörmander,Lund University,Mjällby,Lund Municipality,university teacher,2012-11-25T00:00:00Z,1931-01-24T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Lars Hörmander,Stockholm University,Mjällby,Lund Municipality,mathematician,2012-11-25T00:00:00Z,1931-01-24T00:00:00Z,1666-12-19T00:00:00Z,Stockholm Municipality
Lund University,Lars Hörmander,Stockholm University,Mjällby,Lund Municipality,university teacher,2012-11-25T00:00:00Z,1931-01-24T00:00:00Z,1666-12-19T00:00:00Z,Stockholm Municipality
Lund University,Torsten Hägerstrand,Lund University,Alvesta Municipality,Lund Municipality,economist,2004-05-04T00:00:00Z,1916-10-11T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Torsten Hägerstrand,Lund University,Alvesta Municipality,Lund Municipality,geographer,2004-05-04T00:00:00Z,1916-10-11T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Torsten Hägerstrand,Lund University,Alvesta Municipality,Lund Municipality,university teacher,2004-05-04T00:00:00Z,1916-10-11T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Karolinska Institute,Rolf Maximilian Sievert,Karolinska Institute,Stockholm,Solna Municipality,physicist,1966-12-03T00:00:00Z,1896-05-06T00:00:00Z,1810-01-01T00:00:00Z,Solna Municipality
Karolinska Institute,Rolf Maximilian Sievert,Karolinska Institute,Stockholm,Solna Municipality,university teacher,1966-12-03T00:00:00Z,1896-05-06T00:00:00Z,1810-01-01T00:00:00Z,Solna Municipality
Lund University,Ivar Wickman,Karolinska Institute,Lund,Lund Municipality,physician,1914-04-20T00:00:00Z,1872-07-10T00:00:00Z,1666-12-19T00:00:00Z,Solna Municipality
Lund University,Ivar Wickman,Karolinska Institute,Lund,Lund Municipality,neurologist,1914-04-20T00:00:00Z,1872-07-10T00:00:00Z,1666-12-19T00:00:00Z,Solna Municipality
Lund University,Ivar Wickman,Karolinska Institute,Lund,Lund Municipality,university teacher,1914-04-20T00:00:00Z,1872-07-10T00:00:00Z,1666-12-19T00:00:00Z,Solna Municipality
Stockholm University,Göran Liljestrand,Karolinska Institute,Masthuggs församling,Stockholm Municipality,physician,1968-01-16T00:00:00Z,1886-04-16T00:00:00Z,1878-01-01T00:00:00Z,Solna Municipality
Stockholm University,Göran Liljestrand,Karolinska Institute,Masthuggs församling,Stockholm Municipality,university teacher,1968-01-16T00:00:00Z,1886-04-16T00:00:00Z,1878-01-01T00:00:00Z,Solna Municipality
Stockholm University,Göran Liljestrand,Karolinska Institute,Masthuggs församling,Stockholm Municipality,pharmacologist,1968-01-16T00:00:00Z,1886-04-16T00:00:00Z,1878-01-01T00:00:00Z,Solna Municipality
Royal Institute of Technology,Rolf Maximilian Sievert,Karolinska Institute,Stockholm,Stockholm Municipality,physicist,1966-12-03T00:00:00Z,1896-05-06T00:00:00Z,1827-01-01T00:00:00Z,Solna Municipality
Royal Institute of Technology,Rolf Maximilian Sievert,Karolinska Institute,Stockholm,Stockholm Municipality,university teacher,1966-12-03T00:00:00Z,1896-05-06T00:00:00Z,1827-01-01T00:00:00Z,Solna Municipality
Lund University,Esaias Tegnér,Lund University,Säffle Municipality,Lund Municipality,writer,1846-11-02T00:00:00Z,1782-11-13T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Esaias Tegnér,Lund University,Säffle Municipality,Lund Municipality,priest,1846-11-02T00:00:00Z,1782-11-13T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Esaias Tegnér,Lund University,Säffle Municipality,Lund Municipality,poet,1846-11-02T00:00:00Z,1782-11-13T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Esaias Tegnér,Lund University,Säffle Municipality,Lund Municipality,university teacher,1846-11-02T00:00:00Z,1782-11-13T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Johan Wilhelm Dalman,Karolinska Institute,Sweden,Lund Municipality,naturalist,1828-07-12T00:00:00Z,1787-11-04T00:00:00Z,1666-12-19T00:00:00Z,Solna Municipality
